chave,valor
bnc_psid_sst,886.904938951
bnc_psid_r2_cabecalho,0.344606565617
bnc_psid_F_cabecalho,242.744861839
bnc_psid_s2,0.139896908087
bnc_psid_elast_wks,0.226654096527
bnc_psid_ed_exato, 6.3034608449
bnc_psid_blk_exato,-23.102355283
bnc_psid_smsa_exato,14.7851861065
bnc_psid_prop_south,0.290276110444
bnc_psid2_r2,0.427849776221
bnc_psid2_r2adj,0.426334328963
bnc_psid2_b_fem,-0.408573414045
bnc_psid2_t_fem,-22.4788992883
bnc_psid2_fem_exato,-33.5402320104
bnc_psid2_b_union,0.0942954177712
bnc_psid2_t_union,7.37438504047
bnc_psid2_union_exato,9.88843279302
bnc_psid2_b_ed,0.0569107796432
bnc_psid2_F_conj,302.113799693
bnc_psid2_F_conj_p,3.1850386226e-123
bnc_psid2_Fcrit,2.99789425987
bnc_p2_r2,0.319246745658
bnc_p2_r2adj,0.317772189872
bnc_p2_F,216.503674381
bnc_p2_b_wks,0.0192294995304
bnc_p2_se_wks,0.0058396038726
bnc_p2_s,0.380737713024
bnc_p2_ssr,603.763423483
bnc_p2_ssr_nlogit,602.313811422
bnc_p2_expstar,30.8291683846
bnc_p2_df2,         4154
bnc_p2_weak,84.5688686016
bnc_p2_wh,6.55495604376
bnc_p2_wh_p,0.0104943039734
bnc_p2_sargan,502.982846477
bnc_p2_sargan_p,2.13288248592e-111
bnc_cig_mqo_b_preco,-1.40650035162
bnc_cig_mqo_se_preco,0.251375485367
bnc_cig_iv_b_preco,-1.27742413343
bnc_cig_wald_chi2,34.5064643872
bnc_cig_wald_F,17.2532321936
bnc_cig_wald_razao,            2
bnc_cps_n,          534
bnc_cps_r2adj,0.320139705784
bnc_cps_b_ed,0.0866401500924
bnc_cps_b_fem,-0.234289109748
bnc_cps_t_fem,-6.08622023329
bnc_cps_fem_exato,-20.886694145
bnc_cps_b_union,0.201068973083
bnc_cps_union_exato,22.2709102931
bnc_cps_t_hisp,-0.781073442242
bnc_cps_t_outra,-1.94675458024
bnc_cps_t_south,-2.18561597576
bnc_cps_expstar,  32.82884555
bnc_cps_jb, 72.465263258
bnc_cps_jb_p,2.22044604925e-16
bnc_cps_reset,6.10373026708
bnc_cps_reset_p,0.00239688473636
bnc_cps_bp,10.6157623308
bnc_cps_bp_p,0.224435107758
bnc_cps_bp_gl,            8
bnc_cps_white, 24.331431613
bnc_cps_white_p,0.945768807146
bnc_cps_white_gl,           37
bnc_cps_chi2crit_bp,15.5073130559
bnc_cps_bp_r2aux,0.0198797047393
bnc_cps_se_fem_hc1,0.0390302005785
bnc_cps_se_fem,0.0384950101652
bnc_chow_ssr_r,113.092374835
bnc_chow_ssr_u,102.072447051
bnc_chow_ssr_h,59.7064390849
