chave,valor
m07b_qnorm_975,1.95996398454
m07b_qchisq_95_1,3.84145882069
m07b_qt_975_25,2.05953855275
m07b_qt_975_4, 2.7764451052
m07b_qt_975_4_quad,7.70864742218
m07b_qf_95_1_4,7.70864742218
m07b_qt_975_76,1.99167260964
m07b_qf_95_1_76,3.96675978401
m07b_qf_95_2_10,4.10282101513
m07b_qchisq_90_2,4.60517018599
m07b_qchisq_95_2,5.99146454711
m07b_qchisq_99_2,9.21034037198
m07b_ex41_t1,-2.77808413484
m07b_ex41_t2,11.2446160221
m07b_ex41_p1,0.0102213324533
m07b_ex41_F,126.441389483
m07b_ex41_r2_via_t,0.834919634023
m07b_ex41_r,0.913739569024
m07b_ex41_dpib_2,     215.4844
m07b_ex42_meia_largura,19.7338187648
m07b_ex42_ic_lo,88.0083812352
m07b_ex42_ic_hi,127.476018765
m07b_ex42_ic_z_lo,88.9624718883
m07b_ex42_ic_z_hi,126.521928112
m07b_ex44_gl_impl, 4.0000024182
m07b_ex44_n_impl,            6
m07b_ex44_t1,3.50415575049
m07b_ex44_t2,5.11991782988
m07b_ex44_p1_recalc,0.0248026754266
m07b_ex44_p2_recalc,0.00688652548232
m07b_ex44_F_t2,26.2135585847
m07b_ex44_Fcrit_tc2,     7.706176
m07b_ex44_qbar,144.499934455
m07b_ex44_elast,0.668940243993
m07b_ex44_elast_alt,0.668940243993
m07b_ex44_ic_lo,  5.063790704
m07b_ex44_ic_hi, 17.058309296
m07b_ex44_s_recalc,118.122489391
m07b_ex44_r2a_recalc,   0.83451125
m07b_ex44_sqt_sy,421567.296384
m07b_ex44_sqt_r2,421567.100483
m07b_ex44_sqe,365755.410483
m07b_ex44_F_anova,26.2135341526
m07b_ex44_lnL_recalc,-35.9275686655
m07b_ex44_aic_recalc,12.6425228885
m07b_ex44_sc_recalc,12.5731093782
m07b_ex44_hq_recalc,12.3646549423
m07b_ex44_jb_p,0.465333930974
m07b_ex44_rho_dw,   -0.5359245
m07b_ex45_ln_intercepto,4.23004027768
m07b_ex45_pct_exato,5.75976837366
m07b_ex45_t_ano,18.6666666667
m07b_ex45_anos_dobrar,12.3776282243
m07b_ex45b_ct_q1,2.35608183522
m07b_ex45b_pct10,2.37233296602
m07b_ex46_exp_b1, 106.14838779
m07b_ex46_pct10,7.18351543018
m07b_ex46_t2,10.5145325321
m07b_ex46_ic_lo,   0.59217896
m07b_ex46_ic_hi,   0.86353704
m07b_ex46_jb_parte_S,10.1468190425
m07b_ex46_jb_parte_K,0.336709333597
m07b_ex46_jb_sk,10.4835283761
m07b_ex46_jb_sk_p,0.00529091442947
m07b_ex46_jb_lista_p,7.98515717272e-05
m07b_ex46_sqt,102.768030285
m07b_ex46_sqe,65.0884402853
m07b_ex46_qmres,0.495784078947
m07b_ex46_F_anova,131.283845224
m07b_ex46_F_r2,131.283845224
m07b_ex46_t2_quad,110.555394368
m07b_ex46_sqt_sy,121.740635602
m07b_ex46_ssr_s,44.7444795228
m07b_ex46_r2_via_t,0.592614299589
m07b_ex46_r2_via_r2a,0.632460051948
m07b_ex46_r2_via_sy_s,0.632460605273
m07b_ex46_lnL_ssr,-82.3011855223
m07b_ex46_aic_do_lnL,1.97826282051
m07b_ex46h_pib,     40000000
m07b_ex46h_elast,        0.625
m07b_ex50_p_2_10,0.152345985011
m07b_ex51_d,8.34686919743
m07b_ex51_b2_teorico,-0.661252321026
m07b_ex51_b2_medio_sim,-0.661713020712
m07b_ex51_b1_teorico,15.2982326416
m07b_ex51_b1_medio_sim,15.2990088653
m07b_ex51_xbar,4.18719215538
m07b_ex51_derivada_media,-0.650246275693
m07b_ex51_reset_F,68.1073174521
m07b_ex51_reset_p,3.85761618791e-19
